refcode,total_charge,multiplicity,splitting,HOMO_eV,LUMO_eV,gap_eV,dipole_moment_Debye
AACANI11,0,3,-11.63,-4.9865,-2.634,2.3525,12.2721
ABAJIX,2,2,15.57,-11.7195,-8.5144,3.2051,2.74325
ABATED,0,3,-17.54,-4.0879,-0.9421,3.1458,0.93595
ABATUT,0,1,25.81,-4.805,-2.3375,2.4675,1.39135
ABEDAN,2,3,-31.41,-11.3693,-8.4592,2.9101,10.25912
ABOTNI,0,3,-17.81,-4.6112,-2.4605,2.1507,1e-05
ACEGOH,0,4,-41.92,-6.5123,-4.3865,2.1258,12.10396
ACEYOW,2,5,-16.04,-11.0312,-8.6888,2.3424,1e-05
ACNCOB20,1,1,38.62,-7.3765,-4.0193,3.3572,7.24299
ACODUR,0,1,106.08,-6.5235,-2.1474,4.3761,7.44063
ADEQUY,0,4,-13.2,-4.4726,-1.7617,2.7109,3.73732
ADERAF,0,4,-17.75,-4.111,-1.3519,2.7591,0.07105
ADIGEB,0,6,-45.98,-4.773,-3.3661,1.4069,23.14373
AENNIN,2,3,-37.94,-14.067,-10.2781,3.7889,2.18552
AETSFE,1,2,49.29,-7.8997,-5.829,2.0707,7.59193
AFAVIO,0,3,-42.1,-4.5788,-0.9441,3.6347,0.0
AFOMEQ,0,4,-35.94,-5.1451,-2.1984,2.9467,6.18392
AFOSUM,0,5,-64.17,-4.5649,-0.515,4.0499,8.63412
AFUDAH,0,1,16.19,-4.6118,-2.3796,2.2322,2.40914
AGAMIH,1,3,-41.88,-9.151,-5.5802,3.5708,8.04798
AGAVAI,0,2,45.76,-4.7743,-2.1774,2.5969,1.48705
AGEZIW,1,1,55.97,-8.0007,-5.5949,2.4058,8.0554
AGIDEC,-2,4,-28.72,0.1566,3.9281,3.7715,1.83165
AGLCMN,0,6,-47.11,-5.235,-1.4306,3.8044,11.36008
AGODAC,0,1,93.29,-4.1639,-0.7893,3.3746,5.03567
AGOZUR,0,3,-50.34,-6.4734,-3.0447,3.4287,0.0
AGUBAF,0,6,-46.05,-5.9478,-1.8448,4.103,0.0
AGUDUE,1,2,26.38,-8.0658,-5.5531,2.5127,4.21554
AGXICO,0,2,50.84,-4.8039,-2.4833,2.3206,0.00033
AHABER,0,3,-27.85,-5.3364,-2.7731,2.5633,9.41166
AHABIV,0,3,-32.54,-5.4877,-2.5968,2.8909,8.99849
AHEZAO,0,4,-36.09,-5.2412,-3.1551,2.0861,10.4065
AHIGOO,0,1,45.82,-4.2372,-1.2349,3.0023,2.52247
AHUCUE,0,3,-15.77,-5.0771,-2.9669,2.1102,5.00017
AHUGOA,0,5,-39.1,-4.5367,-1.8463,2.6904,1.14259
AJAFEX,0,1,55.06,-4.8457,-1.1911,3.6546,11.1483
AJALAZ,0,2,24.93,-4.34,-1.7319,2.6081,1e-05
AJALED,0,5,-44.46,-5.0899,-2.4727,2.6172,8.98281
AJALIH,0,5,-40.85,-5.203,-2.6948,2.5082,9.14573
AJICUT,0,6,-60.54,-4.8648,-3.0653,1.7995,12.41419
AJIMOV,0,1,106.56,-5.782,-1.9349,3.8471,6.03085
AJUKIA,0,1,66.84,-5.3208,-1.4344,3.8864,2.10666
AKASIQ,0,5,-55.23,-4.3955,-2.9624,1.4331,4.90139
ALALAA,0,2,34.29,-4.5662,-2.827,1.7392,0.07032
ALEQEO,0,1,76.99,-4.7473,-1.2807,3.4666,6.93631
ALILOX,0,1,45.28,-4.7067,-2.4761,2.2306,3.12261
ALIYOJ,0,5,-57.71,-4.6147,-2.926,1.6887,9.54585
ALLPMN,0,1,144.18,-5.1762,-0.1944,4.9818,0.9792
ALOTOL,0,1,60.44,-4.4594,-0.8703,3.5891,9.19701
ALOTUR,0,1,59.83,-4.0528,-0.5117,3.5411,8.05632
AMATEQ,-2,6,-43.75,0.5306,4.6189,4.0883,1.24802
APOHUK,-2,4,-19.51,1.2011,3.155,1.9539,0.54357
APRCOB,1,1,57.18,-9.9359,-6.5316,3.4043,13.68209
APUDUM,0,5,-28.08,-4.7038,-2.3692,2.3346,6.0442
AQIYAA,-2,1,108.23,1.4683,5.2543,3.786,7.25983
AQIYII,-1,1,107.26,-2.1456,1.307,3.4526,4.61045
AQIZEF,-2,1,120.34,1.6432,4.9536,3.3104,10.28072
AQSUMN,0,6,-44.12,-3.0629,-2.0187,1.0442,21.39366
AQUGEY,0,5,-27.24,-4.1475,-1.7631,2.3844,5.36335
AQUGIF,0,3,-24.75,-3.6304,-0.9225,2.7079,2.71431
AREJUD,0,1,57.82,-4.653,-1.4696,3.1834,3.88769
ARIMUJ,1,1,83.25,-9.1413,-6.1858,2.9555,3.29114
ARIRIC,0,4,-19.35,-5.5942,-2.1924,3.4018,6.77717
ARIVEE,0,1,19.15,-4.6261,-2.2995,2.3266,2.70371
ASASOF,0,1,43.83,-4.3901,-2.5022,1.8879,5.20552
ASATEW,0,2,53.46,-4.729,-2.5813,2.1477,9.13798
ASENIA,-2,1,19.03,0.9564,3.5352,2.5788,0.0
ASUTUD,0,5,-51.92,-3.8908,-0.9893,2.9015,7.99845
ASUVIT,0,6,-67.71,-4.2033,-0.4596,3.7437,8.77474
ATOCOC,0,3,-29.02,-4.7056,-2.1567,2.5489,2e-05
ATOFAS,0,6,-19.85,-6.1176,-3.6746,2.443,12.15427
ATOMOM,2,6,-46.48,-10.5695,-8.5765,1.993,2.03752
ATUFAW,0,1,34.19,-4.7965,-1.3871,3.4094,0.74264
AVALAL,0,6,-56.18,-4.7936,-1.2058,3.5878,5.34074
AVOKAX,0,1,47.99,-5.1743,-1.9555,3.2188,15.43063
AVUCUP,0,4,-30.07,-4.7711,-2.1904,2.5807,4.08028
AWESAY,0,4,-22.84,-5.1701,-2.0562,3.1139,13.47604
AWOLOO,0,5,-50.25,-4.7992,-3.0425,1.7567,4.85191
AXISIJ,0,5,-43.95,-5.1289,-3.4422,1.6867,12.26586
AXITAC,0,6,-48.18,-4.7812,-2.1342,2.647,10.12107
AYAGIQ,0,1,24.08,-4.6866,-2.2923,2.3943,5.30523
AYIZOY,-4,4,-16.98,9.1298,12.307,3.1772,1.26757
AYOYES,0,3,-30.0,-5.2407,-2.4296,2.8111,4.13709
AZIDIY,-1,3,-39.96,-1.7892,-0.9142,0.875,27.61996
AZISUY,0,6,-51.53,-4.6266,-2.0037,2.6229,0.0
AZOCNI16,1,3,-29.59,-7.5559,-4.7479,2.808,1.66709
AZUMAJ,0,6,-49.47,-4.5373,-2.2299,2.3074,13.39312
BABCAK,0,4,-20.36,-4.5112,-2.3012,2.21,20.60836
BABPAX,-2,1,27.34,3.1466,6.2248,3.0782,2.34391
BABQIE,0,1,129.15,-5.2301,-1.4355,3.7946,5.39442
BABTED,0,1,47.56,-4.0179,-0.3444,3.6735,4.8034
BACNOK,1,6,-46.79,-8.0529,-5.23,2.8229,8.58812
BADHIZ,0,3,-32.29,-5.4078,-2.3029,3.1049,14.08518
BAFSIO,0,1,30.12,-3.523,-1.0603,2.4627,5.14936
BAHDAS,-2,4,-38.4,1.2144,4.8803,3.6659,1.379
BAJJEB,0,4,-9.39,-5.3907,-2.805,2.5857,1e-05
BAJVUE,0,3,-18.42,-4.9013,-2.9583,1.943,6.76762
BAJWAL,0,3,-14.07,-5.0134,-3.2169,1.7965,4.57158
BAJWEP,0,3,-13.71,-5.0298,-3.2982,1.7316,5.69131
BAJWOZ,0,3,-35.98,-5.0625,-2.4748,2.5877,6.7471
BAMBAV,-4,1,132.98,10.0861,14.393,4.3069,1e-05
BAMCOM,-2,2,23.11,1.2496,3.7573,2.5077,0.0
BAPKEI,1,1,48.64,-8.0682,-4.5118,3.5564,1.5535
BAPPOX,2,4,-23.27,-13.9204,-9.3797,4.5407,6.96867
BATSIY,1,3,-22.84,-8.1302,-5.5664,2.5638,6.07422
BAVNAN,2,3,-42.77,-13.2444,-9.3473,3.8971,6.05863
BAWLAN,0,6,-46.41,-4.7423,-3.1739,1.5684,12.48438
BAWZIL,0,4,-14.91,-5.4691,-3.4086,2.0605,0.0
BAYDEL,0,1,69.98,-4.5932,-1.9918,2.6014,6.69121
BAYHUF,0,5,-27.9,-3.9749,-1.5089,2.466,11.27721
BAZSUR,0,1,35.04,-5.2853,-2.4384,2.8469,0.0
BEFPOR,0,1,88.66,-4.6753,-1.119,3.5563,5.1323
